Venue,City,Date,Match Type,Teams,Name,Runs,Balls Faced,Balls Bowled,Wickets Taken,Runs Conceded,Overs Bowled,Batting Strike Rate,Bowling Strike Rate,Bowling Economy Rate
Sophia Gardens,Cardiff,2019-06-01,ODI,New Zealand v Sri Lanka,MJ Henry,0,0,42,3,29,7.0,0,14.0,4.142857142857143
Sophia Gardens,Cardiff,2019-06-01,ODI,New Zealand v Sri Lanka,MDKJ Perera,29,24,0,0,0,0.0,120.83333333333333,0,0
Sophia Gardens,Cardiff,2019-06-01,ODI,New Zealand v Sri Lanka,FDM Karunaratne,52,84,0,0,0,0.0,61.904761904761905,0,0
Sophia Gardens,Cardiff,2019-06-01,ODI,New Zealand v Sri Lanka,TA Boult,0,0,54,1,44,9.0,0,54.0,4.888888888888889
Sophia Gardens,Cardiff,2019-06-01,ODI,New Zealand v Sri Lanka,BKG Mendis,0,1,0,0,0,0.0,0.0,0,0
Sophia Gardens,Cardiff,2019-06-01,ODI,New Zealand v Sri Lanka,DM de Silva,4,13,0,0,0,0.0,30.76923076923077,0,0
Sophia Gardens,Cardiff,2019-06-01,ODI,New Zealand v Sri Lanka,LH Ferguson,0,0,38,3,22,6.2,0,12.666666666666666,3.4736842105263155
Sophia Gardens,Cardiff,2019-06-01,ODI,New Zealand v Sri Lanka,AD Mathews,0,9,0,0,0,0.0,0.0,0,0
Sophia Gardens,Cardiff,2019-06-01,ODI,New Zealand v Sri Lanka,C de Grandhomme,0,0,12,1,14,2.0,0,12.0,7.0
Sophia Gardens,Cardiff,2019-06-01,ODI,New Zealand v Sri Lanka,BMAJ Mendis,1,4,7,0,11,1.1,25.0,0,9.428571428571429
Sophia Gardens,Cardiff,2019-06-01,ODI,New Zealand v Sri Lanka,NLTC Perera,27,23,18,0,25,3.0,117.3913043478261,0,8.333333333333334
Sophia Gardens,Cardiff,2019-06-01,ODI,New Zealand v Sri Lanka,JDS Neesham,0,0,18,1,21,3.0,0,18.0,7.0
Sophia Gardens,Cardiff,2019-06-01,ODI,New Zealand v Sri Lanka,MJ Santner,0,0,12,1,5,2.0,0,12.0,2.5
Sophia Gardens,Cardiff,2019-06-01,ODI,New Zealand v Sri Lanka,I Udana,0,3,18,0,24,3.0,0.0,0,8.0
Sophia Gardens,Cardiff,2019-06-01,ODI,New Zealand v Sri Lanka,RAS Lakmal,7,13,24,0,28,4.0,53.84615384615385,0,7.0
Sophia Gardens,Cardiff,2019-06-01,ODI,New Zealand v Sri Lanka,SL Malinga,1,2,30,0,46,5.0,50.0,0,9.2
Sophia Gardens,Cardiff,2019-06-01,ODI,New Zealand v Sri Lanka,MJ Guptill,73,51,0,0,0,0.0,143.13725490196077,0,0
