Name,Full Name,Match Type,Batting Average,Batting Strike Rate,Bowling Average,Bowling Strike Rate,Bowling Economy Rate
PJ Cummins,Pat Cummins,T20,21.0,132.5,30.1,21.2,8.51
Hashmatullah Shahidi,Hashmatullah Shahidi,ODI,33.9,64.1,0,0,8.00
Hashmatullah Shahidi,Hashmatullah Shahidi,T20,0,0,0,0,0
NM Coulter-Nile,Nathan Coulter-Nile,ODI,16.9,96.6,29.9,32.3,5.56
NM Coulter-Nile,Nathan Coulter-Nile,T20,15.4,139.6,21.7,17.3,7.52
MP Stoinis,Marcus Stoinis,ODI,32.8,91.9,43.8,42.8,6.14
MP Stoinis,Marcus Stoinis,T20,29.4,126.0,26.4,18.0,8.79
A Zampa,Adam Zampa,ODI,6.7,62.9,35.8,37.5,5.72
A Zampa,Adam Zampa,T20,5.9,89.2,23.4,18.6,7.57
Mohammad Nabi,Mohammad Nabi,ODI,27.7,86.0,32.1,44.9,4.29
Mohammad Nabi,Mohammad Nabi,T20,20.6,137.7,23.2,20.1,6.92
Gulbadin Naib,Gulbadin Naib,ODI,23.2,72.9,33.9,37.9,5.36
Gulbadin Naib,Gulbadin Naib,T20,0,0,0,0,0
Najibullah Zadran,Najibullah Zadran,ODI,30.0,90.3,0,0,6.00
Najibullah Zadran,Najibullah Zadran,T20,24.3,139.8,0,0,0
Rashid Khan,Rashid Khan,ODI,20.5,101.3,17.8,25.8,4.15
Rashid Khan,Rashid Khan,T20,8.9,155.8,18.9,18.2,6.25
Dawlat Zadran,Dawlat Zadran,ODI,17.6,77.4,29.5,32.5,5.44
Dawlat Zadran,Dawlat Zadran,T20,0,0,0,0,0
Mujeeb Ur Rahman,Mujeeb Ur Rahman,ODI,7.2,95.6,22.7,35.1,3.88
Mujeeb Ur Rahman,Mujeeb Ur Rahman,T20,7.8,102.2,30.6,26.0,7.08
Hamid Hassan,Hamid Hassan,ODI,6.7,54.6,22.8,29.4,4.64
Hamid Hassan,Hamid Hassan,T20,2.0,50.0,13.6,13.7,5.94
AJ Finch,Aaron Finch,ODI,40.3,89.5,59.8,66.5,5.39
AJ Finch,Aaron Finch,T20,35.3,141.9,44.0,29.0,9.10
DA Warner,David Warner,ODI,45.8,95.6,0,0,8.00
DA Warner,David Warner,T20,41.7,141.8,0,0,13.00
UT Khawaja,Usman Khawaja,ODI,42.0,84.1,0,0,0
UT Khawaja,Usman Khawaja,T20,38.2,131.3,0,0,0
SPD Smith,Steven Smith,ODI,41.0,86.3,34.4,38.2,5.40
SPD Smith,Steven Smith,T20,33.8,124.9,30.7,21.3,8.62
GJ Maxwell,Glenn Maxwell,ODI,32.4,123.7,50.5,54.0,5.62
GJ Maxwell,Glenn Maxwell,T20,24.4,152.7,34.8,26.5,7.89
Tamim Iqbal,Tamim Iqbal,ODI,36.1,78.0,0,0,13.00
Tamim Iqbal,Tamim Iqbal,T20,34.8,119.7,0,0,0
Soumya Sarkar,Soumya Sarkar,ODI,34.6,98.6,35.3,36.0,5.89
Soumya Sarkar,Soumya Sarkar,T20,13.8,100.0,37.3,24.0,9.33
Shakib Al Hasan,Shakib Al Hasan,ODI,37.1,83.1,30.4,40.3,4.53
Shakib Al Hasan,Shakib Al Hasan,T20,21.4,122.5,22.2,19.1,6.98
CH Morris,Chris Morris,ODI,20.3,100.4,36.6,39.5,5.56
CH Morris,Chris Morris,T20,22.5,145.4,24.8,18.8,7.93
Mushfiqur Rahim,Mushfiqur Rahim,ODI,36.9,80.0,0,0,0
Mushfiqur Rahim,Mushfiqur Rahim,T20,32.7,130.6,0,0,0
Mohammad Mithun,Mohammad Mithun,ODI,27.5,75.3,0,0,0
Mohammad Mithun,Mohammad Mithun,T20,25.5,114.8,0,0,0
Mahmudullah,Mahmudullah,ODI,35.1,76.5,46.4,53.8,5.18
Mahmudullah,Mahmudullah,T20,23.8,116.1,24.1,20.2,7.15
Mosaddek Hossain,Mosaddek Hossain,ODI,26.1,87.1,56.2,64.4,5.24
Mosaddek Hossain,Mosaddek Hossain,T20,23.9,112.6,34.7,27.2,7.64
Mehedi Hasan Miraz,Mehedi Hasan,ODI,25.3,66.1,47.8,58.5,4.90
Mehedi Hasan Miraz,Mehedi Hasan,T20,0,0,0,0,0
Mustafizur Rahman,Mustafizur Rahman,ODI,7.7,57.0,23.0,26.3,5.24
Mustafizur Rahman,Mustafizur Rahman,T20,9.3,57.1,24.5,21.1,6.97
Mohammad Saifuddin,Mohammad Saifuddin,ODI,29.1,81.4,37.9,38.0,5.98
Mohammad Saifuddin,Mohammad Saifuddin,T20,9.9,108.5,20.8,15.6,8.00
Mashrafe Mortaza,Mashrafe Mortaza,ODI,13.4,85.8,34.0,41.2,4.96
Mashrafe Mortaza,Mashrafe Mortaza,T20,13.7,124.3,25.0,21.7,6.92
DA Miller,David Miller,ODI,38.7,100.2,0,0,0
DA Miller,David Miller,T20,33.3,139.3,0,0,0
MA Wood,Mark Wood,ODI,9.3,88.9,39.1,42.3,5.54
MA Wood,Mark Wood,T20,10.5,90.0,28.0,21.2,7.93
Asif Ali,Asif Ali,ODI,25.8,128.9,0,0,10.80
Asif Ali,Asif Ali,T20,22.7,164.0,0,0,0
Shoaib Malik,Shoaib Malik,ODI,35.8,82.6,40.0,50.9,4.71
Shoaib Malik,Shoaib Malik,T20,35.2,122.3,30.9,26.5,7.02
N Pradeep,Nuwan Pradeep,ODI,4.1,47.5,37.3,37.2,6.01
N Pradeep,Nuwan Pradeep,T20,0,0,0,0,0
B Kumar,Bhuvneshwar Kumar,ODI,14.2,74.9,34.6,41.3,5.03
B Kumar,Bhuvneshwar Kumar,T20,8.0,95.3,24.0,19.8,7.26
JJ Bumrah,Jasprit Bumrah,ODI,3.8,44.2,21.9,29.2,4.49
JJ Bumrah,Jasprit Bumrah,T20,18.0,92.3,26.6,21.1,7.57
HH Pandya,Hardik Pandya,ODI,29.9,115.6,40.6,43.9,5.56
HH Pandya,Hardik Pandya,T20,28.9,155.1,31.3,20.7,9.07
